,model,accuracy,fp,tp,fn,tn,precision_1,recall_1,f1_1,precision_0,recall_0,f1_0,auc,
0,Random Forest,0.934750733,69,31,20,1244,0.31,0.61,0.41,0.98,0.95,0.97,0.777645864,
1,AdaBoost,0.890762463,133,35,16,1180,0.21,0.69,0.31,0.99,0.9,0.94,0.792489882,
2,XGBoost,0.944281525,54,29,22,1259,0.35,0.57,0.43,0.98,0.96,0.97,0.763750131,
3,Ensemble,0.937683284,64,30,21,1249,0.32,0.59,0.41,0.98,0.95,0.97,0.769745979,
4,KNN,0.886363636,141,37,14,1172,0.21,0.73,0.32,0.99,0.89,0.94,0.809051267,
5,Logistic Regression,0.038123167,1312,51,0,1,0.04,1,0.07,1,0,0,0.500380807,
6,ANN,0.771994135,306,46,5,1007,0.13,0.9,0.23,1,0.77,0.87,0.834453355,
